participant_id,trial_index,book_id,title,gender_group,question_type,character_name,character_type,character_gender,question_id,raw_response,word_tidy,correct_pos,word_tidy_lemma,human_gender_estimate_us,human_gender_estimate_glasgow
P67617,11,L144,SLOW LORIS,neutral,activity,LORIS,m,m,A4,spread,spread,action,spread,3.5833333333333335,4.1212
P67617,11,L144,SLOW LORIS,neutral,activity,LORIS,m,m,A5,care,care,action,care,4,2.2759
P67617,12,L144,SLOW LORIS,neutral,description,LORIS,m,m,D1,tired,tired,description,tire,2.2857142857142856,4.4688
P67617,12,L144,SLOW LORIS,neutral,description,LORIS,m,m,D2,slow,slow,description,slow,3.0625,3.7667
P67617,12,L144,SLOW LORIS,neutral,description,LORIS,m,m,D3,wild,wild,description,wild,2.5,4.3429
P67617,12,L144,SLOW LORIS,neutral,description,LORIS,m,m,D4,boring,boring,description,bore,2.5,NA
P67623,3,L185,GRANDMA WISHES,female-biased,activity,GRANDMA,m,f,A1,Held,held,action,hold,3,3.6774
P67623,3,L185,GRANDMA WISHES,female-biased,activity,GRANDMA,m,f,A2,Listened,listened,action,listen,3.5714285714285716,NA
P67623,3,L185,GRANDMA WISHES,female-biased,activity,GRANDMA,m,f,A3,Swelled,swelled,action,swell,NA,NA
P67623,3,L185,GRANDMA WISHES,female-biased,activity,GRANDMA,m,f,A4,Wished,wished,action,wish,3.5714285714285716,3.2222
P67623,4,L185,GRANDMA WISHES,female-biased,description,GRANDMA,m,f,D1,Loving,loving,description,love,4.4,2.2941
P67623,4,L185,GRANDMA WISHES,female-biased,description,GRANDMA,m,f,D2,Hopeful,hopeful,description,hopeful,3.8333333333333335,3.0938
P67623,4,L185,GRANDMA WISHES,female-biased,description,GRANDMA,m,f,D3,Wishful,wishful,description,wishful,3.9166666666666665,NA
P67623,6,L107,"THOMAS AND FRIENDS: GO, TRAIN, GO!",male-biased,activity,THOMAS,m,m,A1,Breaks,breaks,action,break,2.7142857142857144,4.5667
P67623,6,L107,"THOMAS AND FRIENDS: GO, TRAIN, GO!",male-biased,activity,THOMAS,m,m,A2,Goes,goes,action,go,2.8333333333333335,NA
P67623,6,L107,"THOMAS AND FRIENDS: GO, TRAIN, GO!",male-biased,activity,THOMAS,m,m,A3,Working,working,action,work,2.75,4.8824
P67623,6,L107,"THOMAS AND FRIENDS: GO, TRAIN, GO!",male-biased,activity,THOMAS,m,m,A4,Speaks,speaks,action,speak,3.1333333333333333,3.4545
P67623,7,L107,"THOMAS AND FRIENDS: GO, TRAIN, GO!",male-biased,description,THOMAS,m,m,D1,Cautious,cautious,description,cautious,3.6,3.75
P67623,7,L107,"THOMAS AND FRIENDS: GO, TRAIN, GO!",male-biased,description,THOMAS,m,m,D2,Blue,blue,description,blue,2.4285714285714284,5.2
P67623,7,L107,"THOMAS AND FRIENDS: GO, TRAIN, GO!",male-biased,description,THOMAS,m,m,D3,Little,little,description,little,3.7857142857142856,3.2424
P67623,9,M68,MAISY GOES CAMPING,neutral,activity,MAISY,m,f,A1,Camping,camping,action,camp,2,4.3125
P67623,9,M68,MAISY GOES CAMPING,neutral,activity,MAISY,m,f,A2,Pitching,pitching,action,pitch,2.6666666666666665,4.2692
P67623,9,M68,MAISY GOES CAMPING,neutral,activity,MAISY,m,f,A3,Falling,falling,action,fall,2.857142857142857,4.1875
P67623,9,M68,MAISY GOES CAMPING,neutral,activity,MAISY,m,f,A4,Helping,helping,action,help,3.5625,3.2059
P67623,10,M68,MAISY GOES CAMPING,neutral,description,MAISY,m,f,D1,Helpful,helpful,description,helpful,3.8333333333333335,3.1
P67623,10,M68,MAISY GOES CAMPING,neutral,description,MAISY,m,f,D2,Adventurous,adventurous,description,adventurous,1.8333333333333333,NA
P67623,10,M68,MAISY GOES CAMPING,neutral,description,MAISY,m,f,D3,Female,female,description,female,4.833333333333333,NA
P67632,3,M1,"BARK, GEORGE",male-biased,activity,GEORGE,m,m,A1,bark,bark,action,bark,2.0714285714285716,4.9706
P67632,3,M1,"BARK, GEORGE",male-biased,activity,GEORGE,m,m,A2,meow,meow,action,meow,3.9166666666666665,NA
P67632,3,M1,"BARK, GEORGE",male-biased,activity,GEORGE,m,m,A3,quack,quack,action,quack,3,4.2424
P67632,3,M1,"BARK, GEORGE",male-biased,activity,GEORGE,m,m,A4,moo,moo,NA,moo,2.9166666666666665,NA
P67632,3,M1,"BARK, GEORGE",male-biased,activity,GEORGE,m,m,A5,oink,oink,action,oink,2.75,NA
P67632,4,M1,"BARK, GEORGE",male-biased,description,GEORGE,m,m,D1,cat,cat,description,cat,3.933333333333333,2.7273
P67632,4,M1,"BARK, GEORGE",male-biased,description,GEORGE,m,m,D2,dog,dog,description,dog,2.25,4.6061
