book_id,title,review_url
L224,DR. SEUSS'S ABC,https://www.amazon.com/Dr-Seusss-ABC-Amazing-Alphabet/product-reviews/0679882812/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M40,DRAGONS LOVE TACOS,https://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/product-reviews/0803736800/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M52,DUCK ON A BIKE,https://www.amazon.com/Duck-Bike-David-Shannon/product-reviews/0439050235/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L101,EACH PEACH PEAR PLUM,https://www.amazon.com/Each-Peach-Picture-Puffin-Books/product-reviews/014050639X/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L250,ELEPHANT AND PIGGY: TODAY I WILL FLY!,https://www.amazon.com/Today-Will-Elephant-Piggie-Book/product-reviews/1423102959/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L243,ELOISE,https://www.amazon.com/Eloise-Book-Precocious-Grown-Ups/product-reviews/067122350X/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L162,EVERYONE POOPS,https://www.amazon.com/Everyone-Poops-My-Body-Science/product-reviews/192913214X/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L109,EXTRA YARN,https://www.amazon.com/Extra-Yarn-Mac-Barnett/product-reviews/0061953385/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L208,FIRST 100 WORDS,https://www.amazon.com/First-100-Words-Roger-Priddy/product-reviews/0312510780/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L225,FOX IN SOCKS,https://www.amazon.com/Fox-Socks-Beginner-Books-Seuss/product-reviews/0394800389/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L184,FROG AND TOAD,https://www.amazon.com/Frog-Toad-Storybook-Treasury-Complete/product-reviews/0062292587/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M66,FROGGY GOES TO BED,https://www.amazon.com/Froggy-Goes-Bed-Jonathan-London/product-reviews/0140566570/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L138,FROM HEAD TO TOE,https://www.amazon.com/Head-Toe-Board-Book/product-reviews/0694013013/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M94,GEORGE AND MARTHA,https://www.amazon.com/George-Martha-Complete-Stories-Collectors/product-reviews/0618891951/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L104,GIRAFFES CAN'T DANCE,https://www.amazon.com/Giraffes-Cant-Dance-Giles-Andreae/product-reviews/0545392551/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L153,"GO, DOG. GO!",https://www.amazon.com/Dog-Read-Myself-Beginner-Books/product-reviews/0394800206/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L165,GOD BLESS YOU AND GOOD NIGHT,https://www.amazon.com/God-Bless-Good-Night-Book/product-reviews/1400322944/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M67,GOLDILICIOUS,https://www.amazon.com/Goldilicious-Pinkalicious-Victoria-Kann/product-reviews/0061244082/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L143,"GOOD DOG, CARL",https://www.amazon.com/Good-Dog-Carl-Classic-Board/product-reviews/0689807481/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M16,GOOD NIGHT GORILLA,https://www.amazon.com/Good-Night-Gorilla-Peggy-Rathmann/product-reviews/0399230033/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M45,GOODNIGHT MOON,https://www.amazon.com/Goodnight-Moon-Margaret-Wise-Brown/product-reviews/0694003611/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L213,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",https://www.amazon.com/Goodnight-Construction-Sherri-Duskey-Rinker/product-reviews/0811877825/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L217,GRANDFATHER'S JOURNEY,https://www.amazon.com/Grandfathers-Journey-Allen-Say/product-reviews/0547076800/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L185,GRANDMA WISHES,https://www.amazon.com/Grandma-Wishes-Childrens-Board-Always/product-reviews/1680520083/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M48,GREEN EGGS AND HAM,https://www.amazon.com/Green-Eggs-Ham-Dr-Seuss/product-reviews/0394800168/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
