book_id,title,author,earliest_publication,isbn_updated,notes_isbn
L153,"GO, DOG. GO!",P.D. EASTMAN,1961,"0394900200 9780394900209 9780394800202 0394800206",NA
L154,TIME FOR BED,MEM FOX,1990,0152010149 9780152010140,NA
L155,TEN LITTLE FINGERS AND TEN LITTLE TOES,MEM FOX AND HELEN OXENBURY,2008,015206057X 9780152060572,NA
L156,DIARY OF A WOMBAT,JACKIE FRENCH,2002,"0207198365 9780207198366 0207199957 9780207199950",NA
L157,MILLIONS OF CATS,WANDA GAG,1928,0606018174 9780606018173,NA
L158,YOU GET WHAT YOU GET,JULIE GASSMAN,2012,"9781404867949 1404867945 9781479521579 1479521574",NA
L159,I LOVE MY MOMMY BECAUSE...,LAUREL PORTER-GAYLORD,1991,0525446257 9780525446255,NA
L160,TEN LITTLE LADYBUGS,MELANIE GERTH,2000,"1581170912 9781581170917 1581171226 9781581171228",NA
L161,PUPPY BIRTHDAY TO YOU! (PAW PATROL),GOLDEN BOOKS (PUBLISHER),2015,"9780553522778 0553522779 9781480678767 1480678767",The author's name is Fabrizio Petrossi
L162,EVERYONE POOPS,TARO GOMI,1992,0916291456 9780916291457,NA
L163,DOGS,EMILY GRAVETT,2009,9781416987031 1416987037,NA
L164,MVP: MOST VALUABLE PUPPY,MIKE GREENBERG & STACY STEPONATE GREENBERG,2018,9781481489317 1481489313,NA
L165,GOD BLESS YOU AND GOOD NIGHT,HANNAH HALL,2013,9781400322947 1400322944,NA
L166,WHERE'S SPOT?,ERIC HILL,1980,9780399240461 0399240462,NA
L167,HOW ROCKET LEARNED TO READ,TAD HILLS,2010,"9780375858994 0375858997 9780375958991 0375958991 9780864619693 0864619693",NA
L168,WHERE IS THE GREEN SHEEP?,MEM FOX AND JUDY HORACEK,2004,"015204907X 9780152049072 141553781X 9781415537817 0439731402 9780439731409",NA
L169,MAMA DON'T ALLOW,THACHER HURD,1984,"0060226897 9780060226893 0060226900 9780060226909 0064430782 9780064430784 0808536982 9780808536987",NA
L170,HOW TO CATCH A STAR,OLIVER JEFFERS,2004,0399242864 9780399242861,NA
L171,LOST AND FOUND,OLIVER JEFFERS,2005,0007150350 9780007150359,NA
L172,THE FANTASTIC FLYING BOOKS OF MR. MORRIS LESSMORE,WILLIAM JOYCE,2012,9781442457027 1442457023,NA
L173,"SAYONARA, MRS. KACKLEMAN",MAIRA KALMAN,1989,0670829455 9780670829453,NA
L174,WHERE IS BABY'S BELLY BUTTON,KAREN KATZ,2000,"1416974636 9781416974635 0689835604 9780689835605",NA
L175,WHISTLE FOR WILLIE,EZRA JACK KEATS,1964,"0670762407 9780670762408 0140502025 9780140502022",NA
L176,BABY TOUCH AND FEEL: ANIMALS,DORLING KINDERSLEY (PUBLISHER),2008,9780756634681 0756634687,NA
L177,I WANT MY HAT BACK,JON KLASSEN,2010,9780763655983 0763655988,NA
L178,P IS FOR POTTY!,NAOMI KLEINBERG,2014,9780385383691 038538369X,WorldCat lists Lena Cooper & Christopher Moroney as the authors
L179,LIBRARY LION,MICHELLE KNUDSEN,2006,9780763622626 0763622621,NA
L180,PAT THE BUNNY,DOROTHY KUNHARDT,1940,9780307200471 0307200477,NA
L181,THE RED BALLOON,ALBERT LAMORISSE,1956,0385003439 9780385003438,NA
L182,ALLIGATOR PIE,DENNIS LEE,1974,"0770511937 9780770511937 0771595662 9780771595660 0771595913 9780771595912",NA
L183,CHUGGA-CHUGGA CHOO-CHOO,KEVIN LEWIS,1998,"0786804297 9780786804290 0786823798 9780786823796",NA
L184,FROG AND TOAD,ARNOLD LOBEL,1970,"9780060239572 0060239573 9780060239589 0060239581 9780064440202 0064440206 9780812429152 081242915X 9780062572738 0062572733 9780881037821 0881037826",The full title should be Frog and Toad are Friends
L185,GRANDMA WISHES,JULIA LOBO,2015,9781680520088 1680520083,NA
L186,THE POKY LITTLE PUPPY,JANETTE SEBRING LOWRY,1942,0307021343 9780307021342,NA
L187,WELCOME LITTLE ONE,SANDRA MAGSAMEN,2009,9780316003940 0316003948,NA
L188,THE WONDERFUL THINGS YOU WILL BE,EMILY WINFIELD MARTIN,2015,"9780385376716 0385376715 9780375973277 0375973273 0375982183 9780375982187 9781518116247 1518116248 9780375976384 0375976388",NA
L189,"BABY BEAR, BABY BEAR, WHAT DO YOU SEE?",BILL MARTIN JR AND ERIC CARLE,2007,9781627797313 1627797319,NA
L190,"POLAR BEAR, POLAR BEAR, WHAT DO YOU HEAR?",BILL MARTIN JR. AND ERIC CARLE,1991,0805023461 9780805023466,NA
L191,"BOB BOOKS, SET 1: BEGINNING READERS",BOBBY LYNN MASLEN,1976,"9780545019187 0545019184 9780545019194 0545019192 9780545019200 0545019206",NA
L192,JUST ME AND MY DAD,MERCER MAYER,1975,0307118398 9780307118394,NA
L193,"I LOVE YOU, STINKY FACE",LISA MCCOURT,1997,0816743924 9780816743926,NA
L194,"BIG SHARK, LITTLE SHARK",ANNA MEMBRINO,2017,"9780399557286 0399557288 9780399557293 0399557296",NA
L195,WINNIE THE POOH,A.A. MILNE,1926,0525444432 9780525444435,NA
L196,LITTLE BEAR: WHAT WILL LITTLE BEAR WEAR?,ELSE HOLMELUND MINARIK,1957,"0064440044 9780064440042 006024240X 9780060242404 9780060242411 0060242418 9780606015301 0606015302 9780812428810 0812428811 9780808526186 0808526189",NA
L197,TIKKI TIKKI TEMBO,ARLENE MOSEL,1967,0805006621 9780805006629,NA
L198,MORTIMER,ROBERT MUNSCH,1983,0920236685 9780920236680,NA
L199,THE THREE QUESTIONS,JOHN J. MUTH,2001,"0439199964 9780439199964 0439537630 9780439537636",NA
L200,MIGHTY MONSTER MACHINES (BLAZE AND THE MONSTER MACHINES),NICKELODEON PUBLISHING,2015,"0553524569 9780553524567 9780399558917 0399558918",The author is Steve Lambe
L201,AMELIA BEDELIA,PEGGY PARISH,1963,9780062572790 0062572792,NA
L202,"IF YOU EVER WANT TO BRING A PIANO TO THE BEACH, DON'T!",ELISE PARSLEY,2016,9780316376594 0316376590,NA
L203,POTTY,LESLIE PATRICELLI,2010,9780763644765 0763644765,NA
L204,IF ANIMALS KISSED GOOD NIGHT,ANN WHITFORD PAUL,2008,0374380511 9780374380519,NA
L205,"HAND, HAND, FINGERS, THUMB",AL PERKINS,1969,"0394810767 9780394810768 0394910761 9780394910765 1448771579 9781448771578 0758712383 9780758712387",NA
L207,B IS FOR BEAR,ROGER PRIDDY,2007,9780312514013 0312514018,NA
L208,FIRST 100 WORDS,ROGER PRIDDY,2005,0312495412 9780312495411,NA
L209,"NUMBERS, COLORS, SHAPES",ROGER PRIDDY,2008,9780312510817 0312510810,NA
L210,BABY BELUGA,RAFFI,1980,0517709775 9780517709771,NA
L211,HOW TO BABYSIT A GRANDMA,JEAN REAGAN,2012,9780375867132 0375867139,NA
L213,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",SHERRI DUSKEY RINKER AND TOM LICHTENHELD,2011,9780811877824 0811877825,NA
L214,I AM A BUNNY,OLE RISOM AND RICHARD SCARRY,1963,0375827781 9780375827785,NA
L215,WE'RE GOING ON A BEAR HUNT,MICHAEL ROSEN,1989,0689504764 9780689504761,NA
L216,I WISH YOU MORE,AMY KROUSE ROSENTHAL AND TOM LICHTENHELD,2015,1452126992 9781452126999,NA
L217,GRANDFATHER'S JOURNEY,ALLEN SAY,1993,0395570352 9780395570357,NA
L218,WHERE DO DIGGERS SLEEP AT NIGHT?,BRIANNA CAPLAN SAYRES,2011,"9780375868481 0375868488 9780375968488 0375968482",NA
L219,CARS AND TRUCKS AND THINGS THAT GO,RICHARD SCARRY,1974,9780307157850 0307157857,NA
L220,RAIN MAKES APPLESAUCE,JULIAN SCHEER,1964,9780823400911 0823400913,NA
L221,LITTLE BLUE TRUCK,ALICE SCHERTLE,2008,"9780152056612 0152056610 9780544056855 054405685X",NA
L222,THE STINKY CHEESE MAN AND OTHER FAIRLY STUPID TALES,JON SCIESZKA,1992,067084487X 9780670844876,NA
L223,IN THE NIGHT KITCHEN,MAURICE SENDAK,1970,"0060266686 9780060266684 0064434362 9780064434362",NA
L224,DR. SEUSS'S ABC,DR. SEUSS,1996,9780679882817 0679882812,NA
L225,FOX IN SOCKS,DR. SEUSS,1963,039480029X 9780394800295,NA
L227,"HAPPY BIRTHDAY, BABY!",DR. SEUSS,2009,9780375846212 0375846212,NA
L228,HOP ON POP,DR. SEUSS,1963,"039480029X 9780394800295 0394900294 9780394900292 9780375828379 0375828370 9780756921286 0756921287 9780329561840 0329561847 9781448771080 1448771080 0881034193 9780881034196",NA
L229,MR. BROWN CAN MOO! CAN YOU?,DR. SEUSS,1970,0679882820 9780679882824,NA
L230,"OH, THE THINKS YOU CAN THINK!",DR. SEUSS,1975,"9780394931296 0394931297 0394831292 9780394831299",NA
L231,ONE FISH TWO FISH RED FISH BLUE FISH,DR. SEUSS,1960,0394800133 9780394800134,NA
L232,THE FOOT BOOK,DR. SEUSS,1968,0394809378 9780394809373,NA
L233,THERE'S A WOCKET IN MY POCKET!,DR. SEUSS,1954,"0001712217 9780001712218 9780007169955 0007169957",NA
L234,YERTLE THE TURTLE,DR. SEUSS,1950,9780007173143 0007173148,Yertle the turtle and other stories
L235,I LOVE YOU THROUGH AND THROUGH,BERNADETTE ROSSETTI-SHUSTAK,2004,0439673631 9780439673631,NA
L236,WHERE THE SIDEWALK ENDS,SHEL SILVERSTEIN,1974,"9780060256678 0060256672 9780060256685 0060256680 9780060513030 0060513039 9780060572341 0060572345",NA
L237,LITTLE OWL'S NIGHT,DIVYA SRINIVASAN,2011,9780670012954 0670012955,NA
L239,BRAVE IRENE,WILLIAM STEIG,1980,9780374309473 0374309477,NA
L240,"KINDERGARTEN, HERE I COME!",D.J. STEINBERG,2012,9780606260749 0606260749,NA
L241,THE MONSTER AT THE END OF THIS BOOK,JON STONE,1971,9780307010858 0307010856,NA
L242,GRUMPY BIRD,JEREMY TANKARD,2007,9780545990219 0545990211,NA
L243,ELOISE,KAY THOMPSON,1955,9780140317831 014031783X,NA
L244,ON THE NIGHT YOU WERE BORN,NANCY TILLMAN,2005,9780312346065 0312346069,NA
L245,WHEREVER YOU ARE MY LOVE WILL FIND YOU,NANCY TILLMAN,2010,9780312549664 0312549660,NA
L246,PRESS HERE,HERVE TULLET,2009,9781742375281 1742375286,The author's name is Hervé Tullet
L247,THE GARDEN OF ABDUL GASAZI,CHRIS VAN ALLSBURG,1979,039527804X 9780395278048,NA
L248,TUESDAY,DAVID WIESNER,1991,0395551137 9780395551134,NA
L250,ELEPHANT AND PIGGY: TODAY I WILL FLY!,MO WILLIEMS,2007,"9781423102953 1423102959 9781448743674 1448743672 9781406314670 1406314676",NA
L252,BEAR SNORES ON,KARMA WILSON,1999,9781599614878 1599614871,NA
L253,THE NIGHT BEFORE MOTHER'S DAY,NATASHA WING,2010,9780448452135 0448452138,NA
L254,THE REAL MOTHER GOOSE,BLANCHE FISHER WRIGHT,1916,"0590995278 9780590995276 0590225170 9780590225175",NA
L255,HOW DO DINOSAURS SAY HAPPY BIRTHDAY?,JANE YOLEN AND MARK TEAGUE,2011,9780545153539 0545153530,NA
L256,LON PO PO: A RED RIDING HOOD STORY FROM CHINA,ED YOUNG,1989,0698113829 9780698113824,NA
L257,THE WHEELS ON THE BUS,PAUL O. ZELINSKY,1990,0525446443 9780525446446,NA
L258,ANIMALIA,NA,1986,NA,NA
M1,"BARK, GEORGE",JULES FEIFFER,1999,"0062051857 9780062051851 0062051865 9780062051868",NA
M10,THE SNOWY DAY,EZRA JACK KEATS,1962,0590733230 9780590733236,NA
M100,TRAIN,ELISHA COOPER,2013,9780545384957 0545384958,The original ISBN was wrong
M11,CAPS FOR SALE,ESPHYR SLOBODKINA,1940,9780064431439 0064431436,NA
M12,GUESS HOW MUCH I LOVE YOU,SAM MCBRATNEY,1994,"1406302848 9781406302844 0744532248 9780744532241",NA
M13,HAROLD AND THE PURPLE CRAYON,CROCKETT JOHNSON,1955,"0064430227 9780064430227 9780060229351 0060229365 9780060229368 0060229357 0606021264 9780606021265 0881036951 9780881036954",NA
M14,THE KEEPING QUILT,PATRICIA POLACCO,1988,"0671649639 9780671649630 9780756917203 0756917204 9781442449824 1442449829",NA
M15,THE OTHER SIDE,JACQUELINE WOODSON,2001,0399231161 9780399231162,NA
M16,GOOD NIGHT GORILLA,PEGGY RATHMAN,1984,0399224459 9780399224454,NA
M17,MADELINE,LUDWIG BEMELMANS,1939,0590089072 9780590089074,NA
M18,MAKE WAY FOR DUCKLINGS,ROBERT MCCLOSKEY,1933,0140501711 9780140501711,NA
M19,"NO, DAVID!",DAVID SHANNON,1998,"0590930028 9780590930024 0439129656 9780439129657 9780590930031 0590930036",NA
M2,BLUEBERRIES FOR SAL,ROBERT MCCLOSKEY,1948,0670175919 9780670175918,NA
M20,OWL MOON,JANE YOLEN,1987,9780399214578 0399214577,NA
M21,STELLALUNA,JANELL CANNON,1993,0152802177 9780152802172,NA
M22,SYLVESTER AND THE MAGIC PEBBLE,WILLIAM STEIG,1969,"0808523821 9780808523826 0671662694 9780671662691",NA
M23,THE GIVING TREE,SHEL SILVERSTEIN,1964,9780060586751 0060586753,NA
M24,THE POLAR EXPRESS,CHRIS VAN ALLSBURG,1985,0862641438 9780862641436,NA
M25,DEAR ZOO,ROD CAMPBELL,1982,9781447282761 1447282760,NA
M26,THE LITTLE HOUSE,VIRGINIA LEE BURTON,1942,9780395259382 039525938X,NA
M27,THE LORAX,DR. SEUSS,1971,"0394823370 9780394823379 0394923375 9780394923376",NA
M28,THE RUNAWAY BUNNY,MARGARET WISE BROWN,1942,0382210441 9780382210440,NA
M29,"ALEXANDER AND THE TERRIBLE, HORRIBLE, NO GOOD, VERY BAD DAY",JUDITH VIORST,1953,0590421441 9780590421447,NA
M3,"BROWN BEAR, BROWN BEAR, WHAT DO YOU SEE?",BILL MARTIN JR,1967,0805047905 9780805047905,NA
M30,A BAD CASE OF STRIPES,DAVID SHANNON,1998,9780545380300 0545380308,NA
M32,THE NAPPING HOUSE,AUDREY WOOD,1984,9780152567088 0152567089,NA
M33,MIKE MULLIGAN AND HIS STEAM SHOVEL,VIRGINIA LEE BURTON,1939,"0395169615 9780395169612 9780547385662 0547385668 9780395259399 0395259398 9780544279926 0544279921 9780758731326 0758731329 0618840192 9780618840199",NA
M34,THE STORY OF BABAR,JEAN DE BRUNHOFF,1933,0394829409 9780394829401,NA
M35,WHERE THE WILD THINGS ARE,MAURICE SENDAK,1963,0064431789 9780064431781,NA
M36,THE TALE OF PETER RABBIT,BEATRIX POTTER,1901,"072326225X 9780723262251 0723205922 9780723205920",NA
M37,THE STORY OF FERDINAND,MUNRO LEAF,1936,0670674249 9780670674244,NA
M38,ARE YOU MY MOTHER?,P.D. EASTMAN,1960,"9781448770908 1448770904 0394800184 9780394800189 9780394900186 0394900189",NA
M39,CHRYSANTHEMUM,KEVIN HENKES,1991,9780688147327 0688147321,"There is a 1982 edition whose author is James Melville But the book is the same and they share the same ISBN number: 0688096999 9780688096991 0688097006 9780688097004 0688147321 9780688147327 0590135651 9780590135658"
M40,DRAGONS LOVE TACOS,ADAM RUBIN,2016,9781579823870 1579823874,NA
M41,LITTLE BLUE TRUCK LEADS THE WAY,ALICE SCHERTLE,2009,"9780152063894 0152063897 9780544708990 0544708997",NA
M42,IF YOU GIVE A MOUSE A COOKIE,LAURA JOFFE NUMEROFF,1985,9998267722 9789998267725,NA
M44,THE LITTLE ENGINE THAT COULD,WATTY PIPER,1930,0448405202 9780448405209,NA
M45,GOODNIGHT MOON,MARGARET WISE BROWN,1947,"9780694016754 0694016756 9781442010901 1442010908 9780060775865 0060775866",NA
M46,CHICKA CHICKA BOOM BOOM,BILL MARTIN,1984,067167949X 9780671679491,NA
M48,GREEN EGGS AND HAM,DR. SEUSS,1960,9780394800165 0394800168,"Although the oldest year listed is 1957, the page it redirects to says it was published in 1960 and 1960 is also the result of its original publication year from Google"
M49,CURIOUS GEORGE TAKES A JOB,H.A. RAY,1941,9780395070581 0395070589,The 1941 edition has no ISBN number and here is the number of its 1947 edition
M5,CLOUDY WITH A CHANCE OF MEATBALLS,JUDI BARRETT,1978,0689707495 9780689707490,NA
M50,THE PIGEON FINDS A HOT DOG!,MO WILLEMS,2004,0786818697 9780786818693,NA
M51,DINOSAUR RESCUE,PENNY DALE,2013,9780763680008 0763680001,NA
M52,DUCK ON A BIKE,DAVID SHANNON,2000,9780439050234 0439050235,NA
M53,HARRY THE DIRTY DOG,GENE ZION,1956,"006443009X 9780064430098 9780060268657 0060268654 1555929133 9781555929138 0060268662 9780060268664 9781404680692 1404680691 0590062115 9780590062114 9781435210899 1435210891",NA
M54,HOW DO DINOSAURS SAY GOOD NIGHT?,JANE YOLEN & MARK TEAGUE,2000,0590316818 9780590316811,"Although the oldest year listed is 1976, the page it redirects to says it was published in 2000 and 2000 is also the result of its publication year from Google"
M56,LLAMA LLAMA RED PAJAMA,ANNA DEWDNEY,2005,"9780439906654 0439906652 9780439906791 0439906792",NA
M57,MAISY GOES TO THE LIBRARY,LUCY COUSINS,2009,9780763643713 0763643718,NA
M58,OLIVIA,IAN FALCONER,2000,0689834950 9780689834950,NA
M59,THE BERENSTAIN BEARS FORGET THEIR MANNERS,STAN & JAN BERENSTAIN,1985,"0394873335 9780394873336 039497333X 9780394973333",NA
M6,CORDUROY,DON FREEMAN,1968,9780670241330 0670241334,NA
M60,THIS IS NOT MY HAT,JON KLASSEN,2012,9780763655990 0763655996,NA
M62,THE VERY HUNGRY CATERPILLAR,ERIC CARLE,1969,"9780399208539 0399208534 9780399237720 0399237720 0529007762 9780529007766",NA
M63,KNUFFLE BUNNY: A CAUTIONARY TALE,MO WILLEMS,2006,"1423102991 9781423102991 9781448743575 1448743575 9781428764361 1428764364 9780545105583 0545105587 9780545103558 054510355X 9780061929571 0061929573 9780061929588 0061929581",NA
M64,LADYBUG GIRL AT THE BEACH,DAVID SOMAN AND JACKY DAVIS,2010,0803734166 9780803734166,NA
M65,A SICK DAY FOR AMOS MCGEE,PHILIP C. STEAD,2010,9781250171108 1250171105,NA
M66,FROGGY GOES TO BED,JONATHAN LONDON,2000,9780140566574 0140566570,NA
M67,GOLDILICIOUS,VICTORIA KANN,2010,"9780545279871 0545279879 9780545280716 0545280710 9780439699372 0439699371",NA
M68,MAISY GOES CAMPING,LUCY COUSINS,2004,"0763623695 9780763623692 9781442020498 1442020490 1415540586 9781415540589 9780763643683 0763643688",NA
M69,OLIVIA. . . AND THE MISSING TOY,IAN FALCONER,2003,0689852916 9780689852916,NA
M7,CURIOUS GEORGE,H.A. REY,1941,"0590020439 9780590020435 9780439699372 0439699371",NA
M70,LLAMA LLAMA HOME WITH MAMA,ANNA DEWDNEY,2011,9780545627061 0545627060,NA
M71,HOW TO TRAIN A TRAIN,JASON CARTER EATON,2013,9780763663070 0763663077,NA
M72,PETE THE CAT: THE WHEELS ON THE BUS,JAMES DEAN,2013,"9780062198716 0062198718 9780605850910 0605850917",NA
M73,CHARLIE AND THE NEW BABY,REE DRUMMOND,2014,9780062297501 0062297503,NA
M74,BEAR WANTS MORE,KARMA WILSON,2003,9781599614892 1599614898,NA
M75,CHICKA CHICKA 1-2-3,BILL MARTIN JR,1989,0689858817 9780689858819,The 1989 edition has no ISBN number and here is the number of its 2004 edition. There are also search results on WorldCat that claims 2004 is the first edition. 2004 is also the result of its original publication year from Google
M76,CLIFFORD AT THE CIRCUS,NORMAN BRIDWELL,1977,0590442937 9780590442930,NA
M77,THE CAT IN THE HAT,DR. SEUSS,1957,9780394900018 0394900014,NA
M78,THE DUCKLING GETS A COOKIE!?,MO WILLEMS,2012,9781423151289 1423151283,NA
M79,THE GROUCHY LADYBUG,ERIC CARLE,1977,"9780690013924 0060270888 9780060270889 069401320X 9780694013203 0690013922",NA
M8,LOVE YOU FOREVER,ROBERT MUNSCH,1986,"0920668364 9780920668368 0920668372 9780920668375","The original file lists Sheila McGraw as the author but she is actually the illustrator. The earliest edition says it was published in 1945. However, 1945 is the birth year of the author, Robert Munsch."
M80,THE TRUE STORY OF THE 3 LITTLE PIGS!,JON SCIESZKA,1989,0670827592 9780670827596,NA
M81,TRASHY TOWN,ANDREA ZIMMERMAN AND DAVID CLEMESHA,1999,"0060271396 9780060271398 006027140X 9780060271404",NA
M82,THE DAY THE CRAYONS QUIT,DREW DAYWALT,2013,9780007513758 0007513755,NA
M83,ARTHUR WRITES A STORY,MARC BROWN,1983,0316111643 9780316111645,NA
M84,BUNNY PARTY,ROSEMARY WELLS,2001,"0670035017 9780670035014 014250162X 9780142501627",NA
M85,IF YOU GIVE A MOOSE A MUFFIN,LAURA JOFFE NUMEROFF,1991,0590455087 9780590455084,NA
M86,THAT IS NOT A GOOD IDEA!,MO WILLEMS,2013,"9780062203090 0062203096 9780545879330 0545879337",NA
M87,THE BERENSTAIN BEARS AND THE GREEN-EYED MONSTER,STAN & JAN BERENSTAIN,1994,"0679964347 9780679964346 0679864342 9780679864349 9780758709462 0758709463 9781442006232 1442006234",NA
M88,THE PAPER BAG PRINCESS,ROBERT N. MUNSCH,1980,0920236820 9780920236826,NA
M89,WINTER DAYS IN THE BIG WOODS,LAURA INGALLS WILDER,1932,"0060264306 9780060885373 0060885378 9780060264307 9780064400015 0064400018",NA
M9,THE CARROT SEED,RUTH KRAUSS,1945,"0060298014 9780060298012 0060233508 9780060233501 0060233516 9780060233518 0064432106 9780064432108 9781591127062 1591127068 0694001589 9780694001583 1413112439 9781413112436",NA
M90,ANGELINA ICE SKATES,KATHARINE HOLABIRD,1993,9780670062379 0670062375,NA
M91,HORTON HEARS A WHO!,DR. SEUSS,1954,0394800788 9780394800783,NA
M92,BREAD AND JAM FOR FRANCES,RUSSELL HOBAN,1964,0064430960 9780064430968,NA
M93,SHOW DOG,MEGHAN MCCARTHY,2004,0670036889 9780670036882,NA
M94,GEORGE AND MARTHA,JAMES MARSHALL,1972,"0395137314 9780395137314 9780395137321 0395137322 0395166195 9780395166192 075872568X 9780758725684 0395199727 9780395199725",NA
M95,MISS RUMPHIUS,BARBARA COONEY,1982,"0670479586 9780670479580 9780140505399 1442011335 9781442011335 0140505393",NA
M96,THE GARDENER,SARAH STEWART,1995,9780374325176 0374325170,NA
M97,THE HAT,JAN BRETT,1997,9780399231018 0399231013,NA
