word,ci_lower,ci_upper,mean,n,gender_bias
cough,2.1666666666666665,2.9166666666666665,2.5833333333333335,12,m
crafty,2.9166666666666665,4.25,3.5833333333333335,12,neither
crawl,2.75,3.4166666666666665,3.0833333333333335,12,neither
create,2.2,3.6,2.9,10,neither
creative,2.6,4,3.4,10,neither
decide,2,3,2.5,10,m
decisive,2,3,2.5,10,m
dedicate,2.5,3.6666666666666665,3.0833333333333335,12,neither
demand,1.5,2.8333333333333335,2.1666666666666665,12,m
desperate,2.9166666666666665,3.8333333333333335,3.4166666666666665,12,neither
determine,1.8333333333333333,2.5833333333333335,2.25,12,m
diligent,1.5833333333333333,2.75,2.1666666666666665,12,m
direct,1.3333333333333333,2.5,1.9166666666666667,12,m
dirty,1.75,3,2.3333333333333335,12,m
discover,2.1666666666666665,3.3333333333333335,2.75,12,neither
disobedient,1.75,2.5020833333333314,2.1666666666666665,12,m
distract,2.2,3.4,2.8,10,neither
diva,4.166666666666667,5,4.666666666666667,12,f
dizzy,3.0833333333333335,3.8333333333333335,3.4166666666666665,12,f
draw,2.75,3.6666666666666665,3.1666666666666665,12,neither
drool,1.8,3.1,2.4,10,neither
eager,1.9166666666666667,2.8333333333333335,2.3333333333333335,12,m
emotional,3.3,4.5,3.9,10,f
empathetic,3.8333333333333335,4.583333333333333,4.166666666666667,12,f
energetic,2.3333333333333335,3.4166666666666665,2.8333333333333335,12,neither
energize,1.9979166666666686,3,2.5,12,m
enter,2.25,3,2.6666666666666665,12,m
entertain,2.5833333333333335,3.3333333333333335,2.9166666666666665,12,neither
envious,2.5,3.8,3.2,10,neither
excitable,2.9,4.1,3.5,10,neither
excite,3.3,4.1,3.7,10,f
exploration,1.4166666666666667,2.5,1.9166666666666667,12,m
explore,1.75,3,2.3333333333333335,12,m
fee,2.3333333333333335,3.3333333333333335,2.8333333333333335,12,neither
feed,2.5,3.9,3.2,10,neither
female,4.5,5,4.833333333333333,12,f
flexible,3.4166666666666665,4.25,3.8333333333333335,12,f
focus,2.0833333333333335,3.0833333333333335,2.6666666666666665,12,neither
fold,2.5,3.6666666666666665,3.0833333333333335,12,neither
forbid,1.3,2.1,1.7,10,m
forgetful,3,3.8333333333333335,3.4166666666666665,12,neither
fret,3,4,3.5,10,neither
frustrate,2.5,3.3333333333333335,2.9166666666666665,12,neither
fussy,4.083333333333333,4.75,4.416666666666667,12,f
gather,3.0833333333333335,4,3.5,12,f
generous,3.5833333333333335,4.416666666666667,4,12,f
goofy,2.8,3.6,3.2,10,neither
graceful,3.4,4.5,4,10,f
grateful,3.581250000000002,4.416666666666667,4,12,f
greedy,1.5833333333333333,2.5,2,12,m
hardworking,1.6,2.6,2.1,10,m
haul,1.8,3,2.4,10,m
helpful,3.5,4.25,3.8333333333333335,12,f
homesick,3.4166666666666665,4.25,3.8333333333333335,12,f
honest,3.2,4.4,3.8,10,f
hopeful,3.5,4.166666666666667,3.8333333333333335,12,f
hunt,1.0833333333333333,1.8333333333333333,1.4166666666666667,12,m
hyper,2.3333333333333335,3.5,2.9166666666666665,12,neither
imaginative,3.25,4.166666666666667,3.75,12,f
immature,1.9166666666666667,2.9166666666666665,2.4166666666666665,12,m
inclusive,2.6,3.8,3.2,10,neither
indecisive,3.1666666666666665,4.083333333333333,3.6666666666666665,12,f
independent,2.3,3.4,2.9,10,neither
industrious,1,1.6666666666666667,1.25,12,m
industry,1.0833333333333333,2,1.5,12,m
innocent,3.5,4.5,4,10,f
inpatient,2.0833333333333335,2.9166666666666665,2.5,12,m
inquisitive,2.3333333333333335,3.5,2.9166666666666665,12,neither
insecure,3.0833333333333335,4.083333333333333,3.5833333333333335,12,f
insistent,1.2,2.7,1.9,10,m
instruct,1.9,3.1,2.5,10,neither
intelligent,2.5,3,2.75,12,m
interest,2.6666666666666665,3.3333333333333335,3,12,neither
introduce,2.2,3,2.7,10,m
investigate,2.4166666666666665,3.4166666666666665,2.8333333333333335,12,neither
irritate,2.1666666666666665,2.8333333333333335,2.5,12,m
jovial,2.6666666666666665,3.75,3.25,12,neither
joyful,3.25,4.166666666666667,3.75,12,f
knead,3.3,4.3,3.8,10,f
laugh,3.1,3.9,3.5,10,f
learn,2.6666666666666665,3.5,3.0833333333333335,12,neither
lie,2.1666666666666665,3.25,2.75,12,neither
lighthearted,3.2479166666666686,4.166666666666667,3.6666666666666665,12,f
lively,3.3,4.1,3.7,10,f
manly,1,1,1,12,m
mature,2.6666666666666665,3.5833333333333335,3.0833333333333335,12,neither
meow,3.1666666666666665,4.583333333333333,3.9166666666666665,12,f
meows,3.25,4.333333333333333,3.8333333333333335,12,f
misbehave,1.8975000000000022,3,2.4,10,m
mischievous,2.5,3.6,3,10,neither
mix,3,3.4166666666666665,3.1666666666666665,12,neither
moan,3.3333333333333335,4.5,3.9166666666666665,12,f
motherly,3.8333333333333335,5,4.5,12,f
naive,3.5,4.5,4,10,f
neat,3.3333333333333335,4.5,3.9166666666666665,12,f
needy,3.5833333333333335,4.416666666666667,4,12,f
nervous,3.3,4.1,3.7,10,f
nod,2.0833333333333335,3.0833333333333335,2.5833333333333335,12,neither
nostalgic,3.4,4.2,3.8,10,f
nurture,4.2,4.8,4.5,10,f
obedient,3.25,3.7520833333333314,3.5,12,f
oblivious,2.6666666666666665,3.75,3.1666666666666665,12,neither
observant,2.25,3.4166666666666665,2.8333333333333335,12,neither
observe,2.25,3.5,2.8333333333333335,12,neither
offer,2.6666666666666665,3.5833333333333335,3.1666666666666665,12,neither
oink,2.331250000000002,3.3333333333333335,2.75,12,neither
oinks,2.1,3.3,2.7,10,neither
optimistic,3,4.2,3.6,10,neither
outgoing,3.1,4.4,3.7,10,f
parental,3.4166666666666665,4.083333333333333,3.75,12,f
paw,1.6666666666666667,2.75,2.25,12,m
pay,1.9,3.1,2.5,10,neither
perseverance,1.8333333333333333,3.25,2.5,12,neither
persistent,1.8333333333333333,3.4166666666666665,2.5833333333333335,12,neither
picky,3.5,4.333333333333333,3.9166666666666665,12,f
pilot,1.8333333333333333,2.6666666666666665,2.25,12,m
pitch,2.0833333333333335,3.25,2.6666666666666665,12,neither
playful,3.6666666666666665,4.5,4.083333333333333,12,f
poke,1.8,3,2.4,10,m
polite,3.3333333333333335,4.166666666666667,3.75,12,f
pooped,2.5,3.3333333333333335,2.9166666666666665,12,neither
pour,2.6666666666666665,3.3333333333333335,3,12,neither
pretend,3.1,4.2,3.6,10,f
productive,2.25,3.75,3,12,neither
provide,1.9,3.4,2.6,10,neither
puffy,2.914583333333335,4,3.5,12,neither
punch,1.25,1.9166666666666667,1.5833333333333333,12,m
push,1.75,2.75,2.25,12,m
race,2.5,3,2.75,12,m
raise,2.3,3.7,3,10,neither
reckless,1.1666666666666667,2.25,1.6666666666666667,12,m
relax,2.8333333333333335,3.75,3.25,12,neither
reserve,2.5,3.5,3,12,neither
resourceful,2.1,3.4,2.8,10,neither
respectful,2.8,3.8024999999999975,3.3,10,neither
responsible,2.8333333333333335,3.9166666666666665,3.3333333333333335,12,neither
return,2.5833333333333335,3.25,2.9166666666666665,12,neither
rub,2.5,3.6666666666666665,3.0833333333333335,12,neither
scare,1.8,3,2.4,10,m
scold,2,3.4,2.7,10,neither
scream,3.5,4.333333333333333,3.9166666666666665,12,f
scruffy,1.3333333333333333,2.3333333333333335,1.8333333333333333,12,m
search,2.25,3.0833333333333335,2.6666666666666665,12,neither
secretive,3,4.2,3.6,10,neither
self,3.1666666666666665,4,3.5833333333333335,12,f
selfish,2,3,2.5,12,m
selfless,3.3333333333333335,4.166666666666667,3.75,12,f
serious,2.3,3.7,3,10,neither
setup,2.4979166666666686,3.25,2.8333333333333335,12,neither
shine,3.4166666666666665,4.083333333333333,3.75,12,f
shove,1.3,1.9,1.6,10,m
simple,2.5833333333333335,3.4166666666666665,3,12,neither
singer,2.6666666666666665,3.668749999999998,3.25,12,neither
skip,2.5,3.6666666666666665,3.0833333333333335,12,neither
sleepy,3.1,4.1,3.6,10,f
smelly,1.5833333333333333,2.5,2,12,m
snap,2.5,3.3333333333333335,2.9166666666666665,12,neither
sniff,2.5,2.9166666666666665,2.75,12,m
sniffle,3.5,4.4,4,10,f
snug,2.9975000000000023,4,3.5,10,neither
socialize,3.5,4.3,3.9,10,f
spread,3.0833333333333335,4,3.5833333333333335,12,f
squirt,3.1666666666666665,4.25,3.75,12,f
stair,2.25,3,2.6666666666666665,12,m
stamp,2.1,3.1,2.6,10,neither
stare,2.3,3.7,3,10,neither
steer,1.25,2.418749999999998,1.8333333333333333,12,m
stomp,1.0833333333333333,1.9187499999999982,1.5,12,m
stretch,2.75,3.4166666666666665,3.0833333333333335,12,neither
strict,1.3333333333333333,2.4166666666666665,1.8333333333333333,12,m
stroll,2.581250000000002,3.9166666666666665,3.25,12,neither
strut,1.4979166666666686,3.1666666666666665,2.25,12,neither
stubborn,2,3.335416666666665,2.6666666666666665,12,neither
studious,2,3.3,2.6,10,neither
supportive,2.8,4.2,3.5,10,neither
sweep,2.9,3.9,3.4,10,neither
swing,2.3,3.1,2.7,10,neither
talented,2.5833333333333335,3,2.8333333333333335,12,m
talkative,3.5,4.418749999999998,4,12,f
thankful,3,3.8333333333333335,3.4166666666666665,12,neither
thirsty,2.4166666666666665,3.3333333333333335,2.9166666666666665,12,neither
thoughtful,2.7,3.6,3.2,10,neither
thrill,2.3,3.1,2.7,10,neither
timid,3.75,4.5,4.166666666666667,12,f
travel,2.6,3.4,3,10,neither
trim,2.5,3.5,3,12,neither
tromp,1.5833333333333333,2.5,2,12,m
trust,3.25,4.083333333333333,3.6666666666666665,12,f
unassuming,2.8,3.5,3.1,10,neither
unaware,2.5,3,2.75,12,m
unbelievable,3,3.5,3.25,12,neither
uncombed,1.9975000000000023,2.9,2.4,10,m
unique,3,3.8,3.4,10,neither
visit,3,3.4166666666666665,3.1666666666666665,12,neither
waddle,2.75,3.6666666666666665,3.25,12,neither
wag,2.414583333333335,3.6666666666666665,3,12,neither
warn,2,2.9166666666666665,2.5,12,m
weird,2.8333333333333335,3.5833333333333335,3.1666666666666665,12,neither
whine,3.1,4.3,3.7,10,f
whiny,2.6,3.8024999999999975,3.2,10,neither
whirl,3.25,4.25,3.75,12,f
whisper,3.9166666666666665,4.583333333333333,4.25,12,f
wholesome,3.75,4.5,4.166666666666667,12,f
wierd,2.3,3.1,2.7,10,neither
wishful,3.5833333333333335,4.25,3.9166666666666665,12,f
worrisome,2.8,4,3.4,10,neither
wrap,2.75,3.75,3.25,12,neither
yawn,2.5833333333333335,3,2.8333333333333335,12,m
