cluster_id,tsne_X,tsne_Y,n,effect_size,eff_conf_low,eff_conf_high,is_gendered,gender_bias,t_statistic,mean_gender
57,0.23381392533189893,1.5346550446736034,26,0.04610702211737597,-0.41,0.4,FALSE,neither,0.23510060549015419,3.006856115227156
58,-16.364088044625987,-19.406371249263636,26,0.2118780248377571,-0.19,0.65,FALSE,neither,1.0803701831492203,3.1438996900535363
59,14.122353151879363,18.6631236122701,9,-0.45854273485984,-1.57,0.17,FALSE,neither,-1.37562820457952,2.824664224664225
60,-25.66747202277634,-2.064951913112897,14,-0.2946790393746079,-1.06,0.21,FALSE,neither,-1.1025880044034506,2.801883830455259
61,-0.7826570014412823,7.162004696670039,22,0.4461346797734915,0.24,0.93,TRUE,female,2.0925571330133637,3.166150148870737
62,15.956510737111204,5.397261024017019,17,-0.3201923346458672,-0.85,0.15,FALSE,neither,-1.320186816258028,2.865223012281836
63,10.823860984064115,23.964928258756974,3,-0.04689218484535864,NA,NA,FALSE,neither,-0.0812196466300725,2.9623931623931625
64,-12.666929526105358,-4.204069157585752,19,-0.28507435679515974,-0.82,0.14,FALSE,neither,-1.2426103126649588,2.7770821283979177
65,12.197409106036197,19.66861463760073,9,-0.36975416646238873,-1.65,0.26,FALSE,neither,-1.1092624993871663,2.7185795685795684
66,-1.2423510814641063,18.420108175369272,24,0.18000464051858595,-0.22,0.56,FALSE,neither,0.8818390412072991,3.136476850355527
67,-26.602746847527204,4.067524190853769,19,-0.1801162934444814,-1.01,0.23,FALSE,neither,-0.7851087212096121,2.8782221390580522
68,1.0229333040510973,-5.710690173292195,39,-0.30900759197376887,-0.71,0.02,FALSE,neither,-1.9297517933660957,2.87531498792811
69,28.741414193694016,6.70339375185514,34,0.22552354949105985,-0.12,0.67,FALSE,neither,1.3150169682371333,3.1243028885762447
70,-2.502022953727843,-10.222587402226072,22,0.3152523547031486,-0.11,0.86,FALSE,neither,1.4786646128210938,3.2106018981018982
71,6.0878084545571385,-2.818236984560634,36,0.047903282222479075,-0.29,0.4,FALSE,neither,0.28741969333487444,2.9942016657090185
72,18.139633220107193,-15.79746882873025,18,-0.15888774425218544,-0.65,0.36,FALSE,neither,-0.6741036084489253,2.9131024204553615
73,17.662746121332844,14.923674816398833,16,0.14664951605510637,-0.34,0.75,FALSE,neither,0.5865980642204255,3.0497650021547082
74,-8.381311019544627,-8.69186482945403,28,-0.612124690631101,-1.02,-0.3,TRUE,male,-3.2390594055444852,2.6536613683935113
75,-1.3323854446459957,12.759112081262002,23,-1.3509815949338584,-2.19,-0.92,TRUE,male,-6.479080120399094,1.9916798993845028
76,-21.239479791539612,-7.908909944313527,17,0.8298250506713217,0.33,1.89,TRUE,female,3.4214563347013867,3.4532770574293066
77,9.951933424453589,14.883877716208502,15,-0.975880635056019,-1.43,-0.73,TRUE,male,-3.77956944745828,2.4078907203907205
78,-10.272405424486275,10.825228438709845,26,0.6657368352648738,0.32,1.12,TRUE,female,3.3946051139330975,3.320174282730844
79,-7.961371440274353,-0.3535218433505236,22,-0.14579368565108938,-0.65,0.27,FALSE,neither,-0.6838330008606127,2.9117132867132867
