run,subj_id,question_name,response_str
run1,P109,native_languages,n/a
run1,P110,native_languages,NA
run1,P111,native_languages,NA
run1,P112,native_languages,NA
run1,P113,native_languages,n/a
run1,P114,native_languages,NA
run1,P115,native_languages,NA
run1,P116,native_languages,NA
run1,P117,native_languages,vietnamese
run1,P118,native_languages,NA
run1,P119,native_languages,NA
run1,P120,native_languages,NA
run1,P121,native_languages,NA
run1,P122,native_languages,NA
run1,P123,native_languages,NA
run1,P124,native_languages,NA
run1,P125,native_languages,NA
run1,P126,native_languages,NA
run1,P127,native_languages,NA
run1,P128,native_languages,NA
run1,P129,native_languages,NA
run1,P130,native_languages,NA
run1,P131,native_languages,NA
run1,P132,native_languages,NA
run1,P133,native_languages,NA
run1,P134,native_languages,NA
run1,P135,native_languages,NA
run1,P136,native_languages,NA
run1,P137,native_languages,NA
run1,P138,native_languages,NA
run1,P139,native_languages,NA
run1,P140,native_languages,NA
run1,P141,native_languages,NA
run1,P142,native_languages,NA
run1,P143,native_languages,NA
run1,P144,native_languages,NA
run1,P145,native_languages,NA
run1,P146,native_languages,NA
run1,P147,native_languages,n/a
run1,P148,native_languages,NA
run1,P149,native_languages,NA
run1,P150,native_languages,NA
run1,P151,native_languages,bulgarian
run1,P152,native_languages,turkish
run1,P153,native_languages,NA
run1,P154,native_languages,NA
run1,P155,native_languages,NA
run1,P156,native_languages,NA
run1,P157,native_languages,NA
run1,P158,native_languages,NA
run1,P159,native_languages,NA
run1,P160,native_languages,NA
run1,P161,native_languages,NA
run1,P162,native_languages,NA
run1,P163,native_languages,NA
run1,P164,native_languages,NA
run1,P1,home_languages,english
run1,P2,home_languages,english
run1,P3,home_languages,english
run1,P4,home_languages,NA
run1,P5,home_languages,english
run1,P6,home_languages,english
run1,P7,home_languages,english
run1,P8,home_languages,english
run1,P9,home_languages,english
run1,P10,home_languages,english
run1,P11,home_languages,eng
run1,P12,home_languages,english
run1,P13,home_languages,english
run1,P14,home_languages,english
run1,P15,home_languages,english
run1,P16,home_languages,english
run1,P17,home_languages,english
run1,P18,home_languages,english
run1,P19,home_languages,english
run1,P20,home_languages,english
run1,P21,home_languages,english
run1,P22,home_languages,english
run1,P23,home_languages,english
run1,P24,home_languages,english
run1,P25,home_languages,english
run1,P26,home_languages,english
run1,P27,home_languages,english
run1,P28,home_languages,english
run1,P29,home_languages,english
run1,P30,home_languages,english
run1,P31,home_languages,english
run1,P32,home_languages,english
run1,P33,home_languages,english
run1,P34,home_languages,english
run1,P35,home_languages,english
run1,P36,home_languages,english
run1,P37,home_languages,english
run1,P38,home_languages,english
run1,P39,home_languages,english
run1,P40,home_languages,english
run1,P41,home_languages,english
run1,P42,home_languages,english
run1,P43,home_languages,NA
run1,P44,home_languages,english
run1,P45,home_languages,english
run1,P46,home_languages,english
run1,P47,home_languages,english
run1,P48,home_languages,english
run1,P49,home_languages,english
run1,P50,home_languages,NA
run1,P51,home_languages,english
run1,P52,home_languages,english
run1,P53,home_languages,english
run1,P54,home_languages,english
run1,P55,home_languages,english
run1,P56,home_languages,english
run1,P57,home_languages,english
run1,P58,home_languages,english
run1,P59,home_languages,english
run1,P60,home_languages,english
run1,P61,home_languages,english
run1,P62,home_languages,english
run1,P63,home_languages,english
run1,P64,home_languages,english
run1,P65,home_languages,english
run1,P66,home_languages,english
run1,P67,home_languages,english
run1,P68,home_languages,english
run1,P69,home_languages,english
run1,P70,home_languages,english
run1,P71,home_languages,english
run1,P72,home_languages,english
run1,P73,home_languages,english
run1,P74,home_languages,english
run1,P75,home_languages,english
run1,P76,home_languages,n/a
run1,P77,home_languages,NA
run1,P78,home_languages,english
run1,P79,home_languages,english
run1,P80,home_languages,englis
run1,P81,home_languages,english and spanish
run1,P82,home_languages,english
run1,P83,home_languages,english
run1,P84,home_languages,english
run1,P85,home_languages,english
run1,P86,home_languages,english
run1,P87,home_languages,english
run1,P88,home_languages,NA
run1,P89,home_languages,english
run1,P90,home_languages,english
run1,P91,home_languages,english
run1,P92,home_languages,english
run1,P93,home_languages,english
run1,P94,home_languages,"english, french"
run1,P95,home_languages,english
run1,P96,home_languages,"english, spanish"
run1,P97,home_languages,english
run1,P98,home_languages,english
run1,P99,home_languages,english
run1,P100,home_languages,english
run1,P101,home_languages,english
run1,P102,home_languages,NA
run1,P103,home_languages,english
run1,P104,home_languages,english
run1,P105,home_languages,english & chinese (mandarin)
run1,P106,home_languages,english
run1,P107,home_languages,english
run1,P108,home_languages,english
run1,P109,home_languages,english
run1,P110,home_languages,english
run1,P111,home_languages,english
run1,P112,home_languages,english
run1,P113,home_languages,english and spanish
run1,P114,home_languages,english
run1,P115,home_languages,english
run1,P116,home_languages,english
run1,P117,home_languages,vietnamese
