book_id,word
L110,his
L110,he
L110,she
L111,triangle
L111,his
L111,he
L111,triangles
L111,him
L113,she
L113,he
L113,dad
L113,his
L116,she
L116,bo
L118,she
L123,pookie
L123,mommy
L129,mother
L129,father
L129,dad
L129,his
L129,grandma
L130,emily
L130,clifford
L130,he
L130,his
L130,him
L131,arthur
L131,he
L131,his
L131,mom
L131,dad
L131,sister
L131,francine
L131,her
L131,him
L131,she
L132,his
L134,man
L134,woman
L136,katy
L136,she
L136,her
L136,his
L136,katie
L139,sister
L139,mommy
L139,daddy
L141,girl
L141,harriet
L141,tubman
L141,her
L141,she
L141,helen
L141,keller
L141,clara
L141,lemlich
L141,nellie
L141,bly
L141,virginia
L141,apgar
L141,woman
L141,maria
L141,tallchief
L141,claudette
L141,colvin
L141,ruby
L141,margaret
L141,smith
L141,man
L141,sally
L141,florence
L141,griffith
L141,joyner
L141,father
L141,he
L141,oprah
L141,winfrey
L141,grandmother
L141,sonia
L141,sotomayor
L142,mommy
L143,carl
L144,loris
L144,he
L144,his
L144,him
L145,pete
L145,his
L145,he
L145,mom
L145,him
L148,her
L148,his
L148,he
L148,she
L149,lucy
L149,grandpa
L149,her
L149,she
L149,gino
L149,harriet
L149,girl
L149,he
L149,his
L149,him
L149,herself
L149,himself
L149,boy
L150,gruffalo
L150,he
L150,his
L150,him
L151,gruffalo
L151,him
L151,he
L151,dad
L151,his
L151,she
L151,her
L156,pete
L156,her
L157,man
L157,woman
L157,he
L157,his
L157,him
L157,she
L158,melvin
L158,his
L158,sister
L158,he
L158,her
L158,dad
L158,mom
L159,mommy
L159,she
L160,she
L161,katie
L161,ryder
L161,marshall
L161,he
L161,his
L161,she
L162,he
L162,himself
L164,phoebe
L164,sister
L164,girl
L164,she
L164,dad
L164,man
L164,his
L164,brother
L164,he
L164,mom
L164,lady
L164,her
L166,spot
L166,he
L166,boy
L167,rocket
L167,he
L167,his
L167,she
L167,her
L167,himself
L167,him
L169,miles
L169,his
L169,he
L169,al
L170,boy
L170,his
L170,he
L170,father
L170,him
L171,boy
L171,he
L171,his
L171,him
L172,morris
L172,lessmore
L172,he
L172,his
L172,him
L172,lady
L172,she
L172,her
L172,girl
L173,lulu
L173,brother
L173,alexander
L173,he
L173,hiroko
L173,she
L173,man
L173,his
L173,him
L173,boy
L174,her
L174,he
L175,peter
L175,he
L175,boy
L175,his
L175,him
L175,himself
L175,father
L175,mother
L175,pete
L176,his
L177,him
L178,elmo
L178,his
L178,mommy
L178,boy
L178,he
L178,himself
L178,she
L178,him
L178,her
L179,lion
L179,he
L179,she
L179,him
L179,his
L179,lions
L179,lady
L179,girl
L179,her
L180,judy
L180,daddy
L180,her
L180,his
L181,boy
L181,pascal
L181,he
L181,his
L181,mother
L181,him
L181,gentleman
L181,she
L181,himself
L181,man
L181,girl
L181,her
L184,he
L184,his
L184,him
L185,grandmas
L185,grandma
L186,he
L186,his
L186,mother
L186,she
L186,him
L186,brother
L186,himself
L191,sam
L191,mark
L192,dad
L192,boy
L192,he
L192,him
L193,she
L195,her
L195,he
L195,pooh
L195,himself
L195,his
L195,him
L195,boy
L195,al
L195,grandfather
L195,uncle
L195,she
L195,herself
L195,aunt
L195,alexander
L195,man
L195,poohs
L196,mother
L196,she
L196,he
L197,mother
L197,her
L197,she
L197,tikki
L197,tembo
L197,his
L197,him
L197,boy
L197,man
L197,he
L197,brother
L198,mortimer
L198,mother
L198,him
L198,his
L198,she
L198,father
L198,he
L199,boy
L199,nikolai
L199,he
L199,his
L199,him
L199,she
L199,leo
L199,her
L199,himself
L200,blaze
L200,aj
L200,he
L200,she
L200,his
L200,him
L200,himself
L200,her
L201,amelia
L201,she
L201,her
L201,his
L201,he
L201,him
L202,mom
L202,she
L202,her
L202,sister
L202,brother
L204,her
L204,his
L205,jake
L208,teddy
L211,grandma
L211,her
L211,she
L211,mom
L211,dad
L213,his
L213,he
L213,mark
L213,himself
L213,him
L214,nicholas
L217,grandfather
L217,man
L217,he
L217,his
L217,him
L217,girl
L217,himself
L217,woman
L217,boy
L219,ma
L219,pa
L219,he
L219,sam
L219,dingo
L219,him
L219,she
L219,her
L219,michael
L219,his
L219,jake
L219,charlie
L219,himself
L219,david
L219,herself
L219,grandma
L219,grandpa
L219,mister
L219,dad
L219,father
L219,harry
L219,carl
L219,man
L219,joe
L220,teddy
L221,her
L221,he
L221,his
L221,brother
L222,jack
L222,girl
L222,she
L222,man
L222,her
L222,loxy
L222,his
L222,he
L222,dad
L222,mom
L222,boy
L222,mother
L222,father
L222,him
L222,cinderella
L222,mark
L222,woman
L222,lady
L223,mickey
L223,he
L223,his
L224,aunt
L224,annie
L224,david
L224,girl
L224,jerry
L224,her
L224,sammy
L224,uncle
L224,his
L224,willy
L225,sue
L225,joe
L225,ben
L228,ned
L228,ed
L228,he
L228,him
L229,he
L230,her
L231,dad
L231,mother
L231,his
L231,he
L231,man
L231,ned
L231,mike
L231,him
L231,joe
L232,his
L232,her
L233,him
L233,he
L234,ma
L234,yertle
L234,he
L234,his
L234,mack
L236,she
L236,charlie
L236,mulligan
L236,his
L236,he
L236,joe
L236,him
L236,her
L236,dad
L236,brother
L236,hector
L236,sister
L236,man
L236,simon
L236,mark
L236,sarah
L236,daddy
L236,teddy
L236,noah
L236,boy
L236,mother
L236,woman
L236,girl
L236,morris
L236,harry
L236,nancy
L236,ma
L236,father
L236,fred
L236,ned
L236,jenny
L236,katy
L236,tommy
L236,mommy
L237,he
L237,her
L237,his
L239,she
L239,her
L239,irene
L239,mother
L239,hers
L239,herself
L240,mom
L240,she
L240,her
L240,he
L240,noah
L240,him
L240,sue
L240,his
L241,grover
L242,bird
L242,he
L243,eloise
L243,he
L243,mother
L243,she
L243,her
L243,his
L243,him
L243,bobby
L243,al
L243,brother
L243,man
L243,thomas
L243,joe
L243,virginia
L243,philip
L247,hester
L247,she
L247,her
L247,alan
L247,his
L247,he
L247,him
L247,himself
L247,boy
L250,she
L252,his
L252,bear
L252,he
L253,mother
L253,dad
L253,his
L253,mom
L253,her
L253,girl
L253,she
L254,bo
L254,her
L254,she
L254,boy
L254,lady
L254,woman
L254,his
L254,mother
L254,man
L254,mark
L254,tommy
L254,he
L254,him
L254,sister
L254,brother
L254,lucy
L254,jenny
L254,solomon
L254,polly
L254,grandmother
L254,mister
L254,smith
L254,simon
L254,jerry
L254,pooh
L254,daddy
L254,aunt
L254,girl
L254,nancy
L254,dawson
L254,jill
L254,father
L254,gentleman
L254,fred
L254,sue
L254,bobby
L254,bessy
L254,james
L254,charley
L254,hector
L254,billy
L254,sam
L254,margaret
L254,willy
L254,helen
L254,himself
L254,lee
L255,she
L255,mom
L255,dad
L256,woman
L256,her
L256,mother
L256,she
L256,he
L256,grandmother
L256,his
