book_id,title,publisher,publisher_desription,n_pages,google_mean_rating,google_num_ratings,cover_thumbnail_url,preview_url
L167,HOW ROCKET LEARNED TO READ,Schwartz & Wade,"Learn to read with this New York Times-bestselling picture book, starring an irresistible dog named Rocket and his teacher, a little yellow bird. Follow along as Rocket masters the alphabet, sounds out words, and finally . . . learns to read all on his own! With a story that makes reading fun_Êîand will even help listeners learn to read_Êîthis book is ideal for kindergarten classrooms and story hour or as a gift for that beginning reader. Fresh, charming art by Tad Hills, the New York Times bestselling author/illustrator of Duck & Goose, will make this a favorite. And don't miss the instant #1 New York Times Bestseller, Rocket Writes a Story. From the Hardcover edition.",40,4,28,http://books.google.com/books/content?id=OU2fEDd1oMIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=OU2fEDd1oMIC&printsec=frontcover&dq=isbn:9780375989223&hl=&cd=1&source=gbs_api
M59,THE BERENSTAIN BEARS FORGET THEIR MANNERS,Random House Books for Young Readers,"This classic Berenstain Bears story is a perfect way to teach children about the importance of good manners! Come for a visit in Bear Country with this classic First Time Book«• from Stan and Jan Berenstain. Mama has noticed that Papa, Brother, and Sister have not been using their good manners, so now it_Ê_s up to her to help get back on track. Includes over 50 bonus stickers!",32,4,13,http://books.google.com/books/content?id=1Ww27Bsb_vYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=1Ww27Bsb_vYC&printsec=frontcover&dq=isbn:9780375989391&hl=&cd=1&source=gbs_api
L211,HOW TO BABYSIT A GRANDMA,Knopf Books for Young Readers,"A New York Times bestseller When you babysit a grandma, if you're lucky . . . it's a sleepover at her house! And with the useful tips found in this book, you're guaranteed to become an expert grandma-sitter in no time. (Be sure to check out the sections on: How to keep a grandma busy; Things to do at the park; Possible places to sleep, and what to do once you're both snugly tucked in for the night.) From the author-illustrator team behind the New York Times bestselling HOW TO... series comes a funny and heartwarming celebration of grandmas and grandchildren.",32,4,8,http://books.google.com/books/content?id=Oaw9AQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=Oaw9AQAAQBAJ&printsec=frontcover&dq=isbn:9780385753869&hl=&cd=1&source=gbs_api
L228,HOP ON POP,NA,"Pairs of rhyming words are introduced and used in simple sentences, such as ""Day. Play. We play all day. Night. Fight. We fight all night.""",64,4.5,15,http://books.google.com/books/content?id=z7cuuQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=z7cuuQEACAAJ&dq=isbn:9780394900292&hl=&cd=1&source=gbs_api
L136,KATY AND THE BIG SNOW,Houghton Mifflin Harcourt,Geappolis is hidden under a blanket of snow until a red crawler tractor saves the day,32,4,10,http://books.google.com/books/content?id=KEmuXFgPB2MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=KEmuXFgPB2MC&printsec=frontcover&dq=isbn:9780395181553&hl=&cd=1&source=gbs_api
M24,THE POLAR EXPRESS,Houghton Mifflin Harcourt,"For twenty-five years, The Polar Express has been a treasured holiday classic. To commemorate this special anniversary, a lavish gift edition has been created. Awarded the prestigious Caldecott Medal in 1986, The Polar Express has sold more than 7 million copies, become a classic holiday movie, and been translated into stage productions that take place across the United States during the holiday season.",32,4.5,49,http://books.google.com/books/content?id=0zZULbHpZN8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=0zZULbHpZN8C&pg=PP1&dq=isbn:9780395389492&hl=&cd=1&source=gbs_api
M97,THE HAT,Putnam Juvenile,Jan Brett's heartwarming story of Hedgie the hedgehog's misadventures has become a family favorite.,32,4,36,http://books.google.com/books/content?id=148KAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=148KAQAAMAAJ&dq=isbn:9780399234613&hl=&cd=1&source=gbs_api
M16,GOOD NIGHT GORILLA,Penguin,"When an unobservant zookeeper goes home, all the animals he thinks he has left behind in the zoo follow him. On board pages.",34,4,49,http://books.google.com/books/content?id=frEuDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=frEuDwAAQBAJ&printsec=frontcover&dq=isbn:9780399242601&hl=&cd=1&source=gbs_api
L193,"I LOVE YOU, STINKY FACE",Scholastic Inc.,"A mother and child discuss how the mother's love would remain constant even if her child were a smelly skunk, scary ape, or bug-eating green alien. On board pages.",34,4.5,27,http://books.google.com/books/content?id=fhvLVxB1SUoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=fhvLVxB1SUoC&printsec=frontcover&dq=isbn:9780439635721&hl=&cd=1&source=gbs_api
M44,THE LITTLE ENGINE THAT COULD,Grosset & Dunlap,"When the other engines refuse, the Little Blue Engine tries to pull a stranded train full of toys and good food over the mountain.",37,4,72,http://books.google.com/books/content?id=okDlNrwOy1AC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=okDlNrwOy1AC&dq=isbn:9780448405209&hl=&cd=1&source=gbs_api
M56,LLAMA LLAMA RED PAJAMA,Viking Books for Young Readers,A bedtime story. A good-night kiss. And Mama Llama turns off the light. but is everything all right? No! This classic bedtime drama is now just the right size for little hands! More Llama llama for little ones!,34,4.5,27,http://books.google.com/books/content?id=BN_aCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=BN_aCwAAQBAJ&printsec=frontcover&dq=isbn:9780451474575&hl=&cd=1&source=gbs_api
L165,GOD BLESS YOU AND GOOD NIGHT,Thomas Nelson,"This sweet book will make sure your little one falls to sleep feeling secure and loved. Bedtime Bibles and storybooks are evergreen classics that sell through year after year. Seasoned brands and new names alike are seeing surging sales in this felt-need genre as parents are looking for comforting books with Bible stories, verses, and prayers to settle kids down to sleep. In God Bless You and Good Night, sleepy little ones are reminded of God_Ê_s blessings and how much they are loved. The delightful rhyming story takes readers through several scenes of snuggly animals who are getting ready for bed. These sweet, sometimes silly rhymes and adorable art are sure to make God Bless You and Good Night a favorite part of the bedtime ritual for parents and children.",20,1,1,http://books.google.com/books/content?id=JLLEAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=JLLEAwAAQBAJ&printsec=frontcover&dq=isbn:9780529109286&hl=&cd=1&source=gbs_api
L255,HOW DO DINOSAURS SAY HAPPY BIRTHDAY?,Scholastic Inc.,"Illustrations and rhyming text present some of the different ways a dinosaur can make her birthday party special, from thanking guests for their gifts to sharing large pieces of cake.",12,5,1,http://books.google.com/books/content?id=qBM80Cw9TikC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=qBM80Cw9TikC&printsec=frontcover&dq=isbn:9780545153539&hl=&cd=1&source=gbs_api
L235,I LOVE YOU THROUGH AND THROUGH,Scholastic Inc.,"A rhyming story of unconditional love and adorable illustrations of a toddler and a teddy bear who declare ""I love you through and through!"" I love your hair and eyes, Your giggles and cries... A toddler and his teddy bear illustrate a young child's happy side, sad side, silly side, mad side, and more! Babies and toddlers will feel loved all over when they hear this declaration of adoration and affection! The book has sturdy cardstock pages and a padded cover with rounded corners for safe handling by little ones.",24,4.5,20,http://books.google.com/books/content?id=UyPFCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=UyPFCgAAQBAJ&printsec=frontcover&dq=isbn:9780545385985&hl=&cd=1&source=gbs_api
L139,I AM A BIG SISTER!,Scholastic Inc.,"Share the joys of becoming a big sister! With the arrival of a new baby comes many transitions, and big sisters may need a little extra tender loving care to adjust to a new family situation. This sweet story with adorable toddler illustrations by Caroline Jayne Church is just right to share with and prepare an older sister getting ready for an expanding family.",24,5,1,http://books.google.com/books/content?id=BfcYBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=BfcYBAAAQBAJ&printsec=frontcover&dq=isbn:9780545690072&hl=&cd=1&source=gbs_api
L221,LITTLE BLUE TRUCK,Houghton Mifflin Harcourt,"""Neigh!"" said a horse. ""Quack!"" said a duck. ""Beep!"" said the friendly Little Blue Truck. Little Blue Truck is a joyful cacophony of animal and truck sounds that will have youngsters beeping and quacking_Êîand begging for one more go-round! Along the way, readers see that it pays to be kind to our animal friends . . . if we show a friendly respect to others, we_Ê_re more likely to get help when we_Ê_re, say, stuck in the muck in a truck. Jill McElmurry_Ê_s gouache illustrations of wild-eyed farm animals and country roads are warm and wonderful, suiting the cheerfully rhyming text to a T. Beep!",32,4.5,19,http://books.google.com/books/content?id=fekwAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=fekwAAAAQBAJ&printsec=frontcover&dq=isbn:9780547770222&hl=&cd=1&source=gbs_api
M7,CURIOUS GEORGE,NA,The curiosity of a newly-captured monkey sets him into continual trouble.,46,NA,NA,http://books.google.com/books/content?id=zOD-YYM0KwwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=zOD-YYM0KwwC&dq=isbn:9780590020435&hl=&cd=1&source=gbs_api
L156,DIARY OF A WOMBAT,Houghton Mifflin Harcourt,"In his diary, a wombat describes his life of eating, sleeping, and getting to know some new human neighbors.",32,4.5,24,http://books.google.com/books/content?id=hODzavpFscoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=hODzavpFscoC&printsec=frontcover&dq=isbn:9780618381364&hl=&cd=1&source=gbs_api
L258,ANIMALIA,NA,NA,NA,5,5,http://books.google.com/books/content?id=51i_jwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=51i_jwEACAAJ&dq=isbn:9780670079131&hl=&cd=1&source=gbs_api
L101,EACH PEACH PEAR PLUM,Longman,Rhymed text and illustrations invite the reader to play 'I spy' with a variety of Mother Goose and other folklore characters.,32,4,20,http://books.google.com/books/content?id=WknRPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=WknRPgAACAAJ&dq=isbn:9780582436565&hl=&cd=1&source=gbs_api
M55,LILLY'S PURPLE PLASTIC PURSE,Harper Collins,"Lilly loves everything about school, especially her cool teacher, Mr. Slinger. But when Lilly brings her purple plastic purse and its treasures to school and can't wait until sharing time, Mr. Slinger confiscates her prized possessions. Lilly's fury leads to revenge and then to remorse and she sets out to make amends. Lilly, the star of Chester's Way and Julius, the Baby of the World, is back. And this time she has her name in the title - something she's wanted all along. If you thought Lilly was funny before, you are in for a treat. So hurry up and start reading. Lilly can't wait for you to find out more about her.",40,4,98,http://books.google.com/books/content?id=IxJEcttj_HAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=IxJEcttj_HAC&printsec=frontcover&dq=isbn:9780688128975&hl=&cd=1&source=gbs_api
L121,HORNS TO TOES AND IN BETWEEN,NA,This is a counting book and a book about parts of the body. It also has a serious educational aim.,14,NA,NA,http://books.google.com/books/content?id=hDLRAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=hDLRAQAACAAJ&dq=isbn:9780689827419&hl=&cd=1&source=gbs_api
L122,"MOO, BAA, LA LA LA!",Simon & Schuster Childrens Books,"Children will love joining in and imitating the animal noises and sounds in this big, bold board book format, illustrated with Sandra Boynton's seriously silly signature animals.",14,4.5,48,http://books.google.com/books/content?id=Gz40AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=Gz40AAAACAAJ&dq=isbn:9780689861130&hl=&cd=1&source=gbs_api
L170,HOW TO CATCH A STAR,Penguin,"From the illustrator of the #1 smash hit The Day the Crayons Quit comes a story about wishing, persevering, and reaching for the stars. Once there was a boy, and that boy loved stars very much. So much so that he decided to catch one of his very own. But how? Waiting for them to grow tired from being up in the sky all night doesn't work. Climbing to the top of the tallest tree? No, not tall enough. The boy has a rocket ship . . . but it is made of paper and doesn't fly well at all. Finally, just when the boy is ready to give up, he learns that sometimes things aren't where, or what, we expect them to be. Oliver Jeffers offers a simple, childlike tale of reaching for the stars, and emerging with a friend.",32,4,14,http://books.google.com/books/content?id=USAhs7EVV8YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=USAhs7EVV8YC&printsec=frontcover&dq=isbn:9780698148772&hl=&cd=1&source=gbs_api
L175,WHISTLE FOR WILLIE,Penguin,"Since it was first published in 1964, Whistle for Willie has delighted millions of young readers with its nearly wordless text and its striking collage artwork depicting the story of Peter, who longs to whistle for his dog. The New York Times wrote: ""Mr. Keats' illustrations boldly, colorfully capture the child, his city world, and the shimmering heat of a summer's day.""",32,3.5,27,http://books.google.com/books/content?id=Y57xAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=Y57xAgAAQBAJ&printsec=frontcover&dq=isbn:9780698165625&hl=&cd=1&source=gbs_api
L126,SNUGGLE PUPPY,Workman Publishing,"A great big hug in book form, Snuggle Puppy is a year-round valentine from parent to child. It is bright, chunky, a pleasure to hold, and has a die-cut cover that reveals a glimpse of the joy inside before it's even opened. Best of all, it's packed, of course, with pure Boynton: her inimitable language, her inimitable illustrations, her inimitable sense of fun. OOO, Snuggle Puppy of mine! Everything about you is especially fine. I love what you are. I love what you do. Fuzzy little Snuggle Puppy, I love you. Featuring a sweet and cuddly doggie cast and rhyming verse, Snuggle Puppy is the perfect bedtime book to read last, because of an ending that kids will want again and again: I started with OOO. . . . Now we'll end like this: [BIG SMOOCH!] Oversized lap edition also available_Êîperfect for reading aloud!",24,5,12,http://books.google.com/books/content?id=drdRCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=drdRCwAAQBAJ&printsec=frontcover&dq=isbn:9780761130673&hl=&cd=1&source=gbs_api
L128,TICKLE TIME,Workman Publishing,Illustrations and rhyming text reveal the importance of a good tickle.,24,4.5,3,http://books.google.com/books/content?id=L7hRCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=L7hRCwAAQBAJ&printsec=frontcover&dq=isbn:9780761168836&hl=&cd=1&source=gbs_api
M100,TRAIN,Workman Publishing,"***A 2016 National Parenting Product Awards (NAPPA) winner You_Ê_ve never seen a book like this before! It_Ê_s the story of a train moving across the American landscape_Êîbut with an actual three-dimensional miniature train that loops up and down and across each spread, traveling along an interior track from front to back without ever leaving the pages. Move the red steam engine out of the depot and to the front of the book, where the sun is just coming up over a bay, and then take a journey across wide plains, up mountains and down hills, into a city at night with its beacons of light_Êîand finally, back to the rail yard. The panoramic landscapes are filled with marvelous details that young children will delight in discovering, and the sweet, simple rhyming language pulls the story along and will be happily repeated when it_Ê_s time to start the journey all over again. All aboard!",14,NA,NA,http://books.google.com/books/content?id=KO0MDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=KO0MDAAAQBAJ&printsec=frontcover&dq=isbn:9780761187165&hl=&cd=1&source=gbs_api
L102,HUG,NA,"This package comprises a sturdy board book Hug, about a little chimp called Bobo searching for a hug; a cute cuddly soft-toy of Bobo; and a quality canvas bag to carry them both around in.",34,4,10,http://books.google.com/books/content?id=iBFxAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=iBFxAAAACAAJ&dq=isbn:9780744592870&hl=&cd=1&source=gbs_api
L179,LIBRARY LION,Candlewick Press,A lion starts visiting the local library but runs into trouble as he tries to both obey the rules and help his librarian friend.,48,4,43,http://books.google.com/books/content?id=PUELvdU5oPAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=PUELvdU5oPAC&printsec=frontcover&dq=isbn:9780763637842&hl=&cd=1&source=gbs_api
M71,HOW TO TRAIN A TRAIN,Candlewick Press,"A whimsical guide to training a ""pet train"" instructs young enthusiasts about important issues including where trains live, what they like to eat, and how to get them to perform the best train tricks.",48,4,1,http://books.google.com/books/content?id=3E_xrHVoOxQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=3E_xrHVoOxQC&printsec=frontcover&dq=isbn:9780763663070&hl=&cd=1&source=gbs_api
M63,KNUFFLE BUNNY,Hyperion,"After a fun day with Daddy at the local Laundromat, Trixie quickly notices that her cherished Knuffle Bunny is missing and turns to her father to help her get him back, in a quirky tale about a special daddy-daughter adventure. Teacher's Guide available. By the author of Don't Let the Pigeon Drive the Bus.",40,3,2,http://books.google.com/books/content?id=rB-UQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=rB-UQgAACAAJ&dq=isbn:9780786818709&hl=&cd=1&source=gbs_api
L189,"BABY BEAR, BABY BEAR, WHAT DO YOU SEE?",Macmillan,Illustrations and rhyming text portray a young bear searching for its mother and meeting many North American animals along the way.,13,3.5,2,http://books.google.com/books/content?id=y4IlKsJ-3UYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=y4IlKsJ-3UYC&printsec=frontcover&dq=isbn:9780805091335&hl=&cd=1&source=gbs_api
L140,SOMETIMES I LIKE TO CURL UP IN A BALL,"Sterling Publishing Company, Inc.","A little wombat has an active day running, jumping, and playing in the mud, but his favorite time is when he can find a soft, cozy spot to curl up into a ball and go to sleep.",24,5,8,http://books.google.com/books/content?id=0mFzSxirgNEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=0mFzSxirgNEC&printsec=frontcover&dq=isbn:9780806979434&hl=&cd=1&source=gbs_api
M69,OLIVIA. . . AND THE MISSING TOY,Simon and Schuster,"Olivia has one toy that she loves more than anything. She feeds him, dresses him and takes him everywhere. So when he disappears, Olivia is FURIOUS! She looks under the rug, under the sofa, under the cat. She shouts at Ian and baby William, she cries, she stomps... all to no avail. Then, one dark and stormy night, Olivia hears a noise... Clutching a candelabra, she creeps bravely into her bedroom, and sees a huge menacing shadow on the wall. Who is this monster, and what's that hanging from his jaws? All is resolved peacefully in this entertaining story starring our favourite pig and her favourite toy.",44,4,15,http://books.google.com/books/content?id=zMWpig6GfbMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=zMWpig6GfbMC&printsec=frontcover&dq=isbn:9780857073488&hl=&cd=1&source=gbs_api
M51,DINOSAUR RESCUE,NA,"When a crew of builder dinosaurs break down on a level crossing, they know the only thing they can do to save themselves is to call Dinosaur Rescue In no time at all, help is on its way, but will the Dinosaur Rescue team get there in time to stop the train?",32,NA,NA,http://books.google.com/books/content?id=gX4WngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=gX4WngEACAAJ&dq=isbn:9780857631671&hl=&cd=1&source=gbs_api
M93,SHOW DOG,Kidz Entertainment Inc,NA,NA,NA,NA,http://books.google.com/books/content?id=isBg-nMqQuwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=isBg-nMqQuwC&printsec=frontcover&dq=isbn:9780979504969&hl=&cd=1&source=gbs_api
L240,"KINDERGARTEN, HERE I COME!",Penguin,"Get ready for school with these fun poems! This adorable picture book celebrates all the familiar milestones and moments shared by every single kindergartener. Whether it's the first-day-of-school jitters or the hundredth-day-of-school party, every aspect of the kindergarten experience is introduced with a light and funny poem--not to mention charming illustrations.",32,4.5,2,http://books.google.com/books/content?id=3yHJpReSO6wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=3yHJpReSO6wC&printsec=frontcover&dq=isbn:9781101642764&hl=&cd=1&source=gbs_api
M64,LADYBUG GIRL AT THE BEACH,Penguin,"It is preschooler Lulu_Ê_s first time at the beach and she needs to conquer her fear of the ocean in this hardcover picture book from the New York Times bestselling Ladybug Girl series. Lulu has never been to the beach but she knows she is going to love it_Ê_until she sees just how big and loud the ocean is. She and her dog Bingo decide that they will make sandcastles, fly kites, and get ice cream instead of swimming. But then the ocean waves snatch Lulu_Ê_s favorite pail. This is a job for Ladybug Girl! When Lulu is Ladybug Girl, she is brave and nothing can stop her from rescuing her pail _Ê_ and suddenly she is in the ocean and it is fun! This story is the perfect preparation for a first beach vacation, or to explore a new experience with a preschooler. Mama and Papa are never far away while Ladybug Girl builds up her courage and confronts something scary for the first time. For fans of Fancy Nancy and Angelina Ballerina, the Ladybug Girl series honors courage, creativity, and a love of nature!",40,3.5,9,http://books.google.com/books/content?id=1ekBkj88uyMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=1ekBkj88uyMC&printsec=frontcover&dq=isbn:9781101654439&hl=&cd=1&source=gbs_api
L181,THE RED BALLOON,Doubleday Books for Young Readers,A small boy follows a red balloon as it drifts around Paris - sometimes just out of reach.,48,NA,NA,http://books.google.com/books/content?id=JXEIDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=JXEIDAAAQBAJ&printsec=frontcover&dq=isbn:9781101935217&hl=&cd=1&source=gbs_api
M90,ANGELINA ICE SKATES,Penguin,"Illus. in full color. To keep a couple of bullies from ruining their New Year's ice skating ballet, Angelina and her friends invite them to become part of the event. Working together, they create a celebration that is a tremendous success.",32,4,3,http://books.google.com/books/content?id=BmdFCQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=BmdFCQAAQBAJ&printsec=frontcover&dq=isbn:9781101997581&hl=&cd=1&source=gbs_api
M18,MAKE WAY FOR DUCKLINGS,Penguin,Mr. and Mrs. Mallard proudly return to their home in the Boston Public Garden with their eight offspring.,68,4,75,http://books.google.com/books/content?id=e5htDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=e5htDQAAQBAJ&printsec=frontcover&dq=isbn:9781101997956&hl=&cd=1&source=gbs_api
